gene_name,avg_expression
gene_0001,6.872355095063282
gene_0002,8.83883328094026
gene_0003,2.222864852361717
gene_0004,6.1459384733811415
gene_0005,3.7187148617563452
gene_0006,4.045749232470607
gene_0007,3.8352121515222612
gene_0008,3.2920184606403673
gene_0009,5.117043255889653
gene_0010,3.358099767177924
gene_0011,5.5609136515596775
gene_0012,4.919523781101725
gene_0013,4.54210390626718
gene_0014,3.204872675916804
gene_0015,3.8664573388633343
gene_0016,6.530782451651511
gene_0017,6.021834375248761
gene_0018,3.0648895104028977
gene_0019,5.218664610858451
gene_0020,6.522774246743578
gene_0021,1.681189437757256
gene_0022,6.1067203847598694
gene_0023,3.6947524821083064
gene_0024,6.1611973371863185
gene_0025,3.493481686914966
gene_0026,1.4102357986709615
gene_0027,1.7649151242336742
gene_0028,5.1161698933227635
gene_0029,5.539445003442963
gene_0030,3.2113667497911824
gene_0031,6.297184917554747
gene_0032,1.6969598754620798
gene_0033,4.887840402705367
gene_0034,2.5979676004750867
gene_0035,3.7163277843956815
gene_0036,5.114797342632827
gene_0037,3.299173269432095
gene_0038,4.250888911540349
gene_0039,7.032585618428881
gene_0040,3.866216260953702
gene_0041,6.691384224130283
gene_0042,2.7605862906847634
gene_0043,6.079608355830565
gene_0044,7.9031372413158
gene_0045,0.07671099974542095
gene_0046,3.4262094890590458
gene_0047,6.17414425436108
gene_0048,4.613909227914014
gene_0049,5.762291746742617
gene_0050,3.8120296265683584
gene_0051,5.193179574945799
gene_0052,4.708645529215841
gene_0053,7.355564123319614
gene_0054,5.5288416866024255
gene_0055,5.695205324150404
gene_0056,4.196246067755065
gene_0057,4.044787551855013
gene_0058,4.154883624360758
gene_0059,5.8089042847565935
gene_0060,4.178031038359474
gene_0061,5.599549713792825
gene_0062,9.170801597290875
gene_0063,6.7622494068633845
gene_0064,4.367952935664317
gene_0065,7.422427844327889
gene_0066,4.203849253956896
gene_0067,0.9437509296442919
gene_0068,3.0038273781651914
gene_0069,1.2784161579482882
gene_0070,4.3169730319173825
gene_0071,5.056836758379103
gene_0072,8.372874624550565
gene_0073,5.673854747528325
gene_0074,4.581798942382271
gene_0075,6.678811162366978
gene_0076,0.5977293819842293
gene_0077,5.491229116217132
gene_0078,6.561730387773933
gene_0079,2.0628275084403165
gene_0080,7.307508086413858
gene_0081,5.696992814988828
gene_0082,4.189424172198397
