gene_name,avg_expression
gene_0001,5.993428306022466
gene_0002,4.72347139765763
gene_0003,6.295377076201385
gene_0004,8.046059712816051
gene_0005,4.531693250553328
gene_0006,4.531726086101639
gene_0007,8.158425631014783
gene_0008,6.534869458305818
gene_0009,4.061051228130096
gene_0010,6.085120087171929
gene_0011,4.0731646143750755
gene_0012,4.068540492859486
gene_0013,5.483924543132068
gene_0014,1.1734395106844042
gene_0015,1.5501643349739345
gene_0016,3.8754249415180544
gene_0017,2.9743377593311524
gene_0018,5.628494665190548
gene_0019,3.1839518489575775
gene_0020,2.1753925973294166
gene_0021,7.931297537843108
gene_0022,4.548447399026928
gene_0023,5.1350564093758475
gene_0024,2.1505036275730864
gene_0025,3.9112345509496347
gene_0026,5.2218451794197325
gene_0027,2.6980128451553944
gene_0028,5.751396036691344
gene_0029,3.79872262016239
gene_0030,4.416612500413446
gene_0031,3.796586775541206
gene_0032,8.704556369017876
gene_0033,4.973005550524132
gene_0034,2.8845781420882
gene_0035,6.645089824206378
gene_0036,2.5583127000579555
gene_0037,5.4177271900095105
gene_0038,1.0806597522404489
gene_0039,2.343627902203139
gene_0040,5.393722471738247
gene_0041,6.476933159990821
gene_0042,5.342736562379941
gene_0043,4.768703435223519
gene_0044,4.3977926088214225
gene_0045,2.0429560192651453
gene_0046,3.5603115832105825
gene_0047,4.078722458080425
gene_0048,7.114244452437831
gene_0049,5.687236579136923
gene_0050,1.473919689274532
gene_0051,5.64816793878959
gene_0052,4.229835439167367
gene_0053,3.6461559993880828
gene_0054,6.2233525776817356
gene_0055,7.061999044991902
gene_0056,6.862560238232398
gene_0057,3.3215649535547227
gene_0058,4.381575248297571
gene_0059,5.662526862807128
gene_0060,6.951090254244718
gene_0061,4.04165152430942
gene_0062,4.628682046672366
gene_0063,2.7873300519879436
gene_0064,2.6075867518386584
gene_0065,6.625051644788396
gene_0066,7.712480057141645
gene_0067,4.855979756839332
gene_0068,7.007065795784048
gene_0069,5.723272050095268
gene_0070,3.7097604907897512
gene_0071,5.722791211016828
gene_0072,8.076073132931938
gene_0073,4.928347921780097
gene_0074,8.129287311628012
gene_0075,-0.23949020817948874
gene_0076,6.643805008750448
gene_0077,5.174094136476342
gene_0078,4.401985299068264
gene_0079,5.183521553071005
gene_0080,1.0248621707982144
gene_0081,4.560656224324976
gene_0082,5.7142251430234925
gene_0083,7.955788089483033
gene_0084,3.9634595634527052
gene_0085,3.3830127942136246
gene_0086,3.996485912830927
gene_0087,6.830804235404148
gene_0088,5.657502219319369
gene_0089,3.9404795924659224
gene_0090,6.026534866226712
gene_0091,5.194155098696081
gene_0092,6.937289981065779
gene_0093,3.5958938122452953
gene_0094,4.3446757068044635
gene_0095,4.215783693735685
gene_0096,2.072970103735763
gene_0097,5.592240554129152
gene_0098,5.522110544359778
gene_0099,5.010226913284922
gene_0100,4.5308257332497055
gene_0101,2.1692585158991715
gene_0102,4.158709354469282
gene_0103,4.314570966946461
gene_0104,3.395445461556762
gene_0105,4.677428576667982
gene_0106,5.8081017136290765
gene_0107,8.77237180242106
gene_0108,5.349155625663678
gene_0109,5.515100781445528
gene_0110,4.851108168467666
gene_0111,1.162457569401917
gene_0112,4.946972249101567
gene_0113,5.120460419882053
gene_0114,9.926484224970572
gene_0115,4.615278070437755
gene_0116,5.603094684667225
gene_0117,4.9305764605895135
gene_0118,2.662643924760936
gene_0119,7.285645629030041
gene_0120,6.503866065373549
gene_0121,6.582063894086094
gene_0122,3.181225090410522
gene_0123,7.805588621872198
gene_0124,2.1962978744154382
gene_0125,6.173714187600541
gene_0126,9.380911251619956
gene_0127,3.0189273497386235
gene_0128,3.867404540794456
gene_0129,5.199302730175282
gene_0130,3.9930486917676014
gene_0131,1.8986731378677346
gene_0132,5.137125949612055
gene_0133,2.8753925725477902
gene_0134,5.9471848612703635
gene_0135,3.1611515315323935
gene_0136,8.09986881003508
gene_0137,3.4334934153275256
gene_0138,4.355876967588649
gene_0139,6.62703443473934
gene_0140,2.5382713671320896
gene_0141,5.4549198692082586
gene_0142,7.614285508564857
gene_0143,1.785033530877545
gene_0144,5.369267717064608
gene_0145,5.519765588496847
gene_0146,6.56364574355462
gene_0147,2.526098578243836
gene_0148,2.3590867738314474
gene_0149,6.0438831312337955
gene_0150,5.5939693464663724
gene_0151,5.5009857006917535
gene_0152,5.692896418993952
gene_0153,3.6399505568430186
gene_0154,5.464507394322007
gene_0155,5.586144946597362
gene_0156,3.571297163947264
